sample id,machine id,diameter[inch],gauge[needles/inch],machine type,fabric type,iplik 1 numarasi[x m/1gr],yarn 1 make,yarn 1 type,iplik 1 uzunlugu[cm],Iplik 1 beslenme orani[%],iplik 2 numarasi[x m/1gr],yarn 2 make,yarn 2 type,iplik 2 uzunlugu[cm],iplik 2 beslenme orani[%],iplik 3 numarasi[x m/1gr],yarn 3 make,yarn 3 type,iplik 3 uzunlugu[cm],iplik 3 beslenme orani,machine caliber,machine speed[rpm],fabric property[roll?],total input yarn[kg],fabric weight[kg],total revolutions per roll ,fabric roll weight,roll width[cm],GSM[gr/m2]
218,18,36,18,double jersey,ribbed,30/1,MARTEKS,vortex gray melange50% polyester50%POL,76,76,70/40,TEKSMAR,ecru guipure,68,20,70,HUAFON,lycra,,4,guipure ribbed,12,tube with line,3242.5,3151.6,1750,28.75,174,390.7
219,28,32,28,single jersey,single,28/1,LIBAS,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,1550,23.3,220,136.9
220,34,32,28,single jersey,single,28/1,LIBAS,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,19,218,119.6
221,34,32,28,single jersey,single,28/1,LIBAS,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,18.75,204,121.5
222,1,32,20,single jersey,fleece,30/1,KIPAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1650,26.25,210,304.1
223,1,32,20,single jersey,fleece,30/1,KIPAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1650,25.95,212,303
224,2,32,20,single jersey,fleece,30/1,KIPAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1750,24.45,214,300.8
225,2,32,20,single jersey,fleece,30/1,KIPAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1750,27.05,215,301
226,4,32,20,single jersey,fleece,30/1,KIPAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1750,28.4,212,278
227,4,32,20,single jersey,fleece,30/1,KIPAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1750,26.1,212,293
228,21,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,22.5,224,268
229,21,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,23.8,224,269
230,22,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,1700,25.65,210,276.6
231,22,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,1700,25.55,224,269
232,23,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,24.3,204,283.1
233,23,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,24.2,210,272
234,24,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,24.3,212,296
235,24,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,24.35,224,311.1
236,29,32,22,single jersey,single,30/1,KIPAS,open end-cotton-polyester,38,100,,,,,,,,,,,single,26,open width,,,,27.45,218,203.9
237,29,32,22,single jersey,single,30/1,KIPAS,open end-cotton-polyester,38,100,,,,,,,,,,,single,26,open width,,,,25.3,210,196
238,30,32,22,single jersey,single,24/1,NAZAR,combed,34,64,20/1,SIRIKCIOGLI,carded,,32,40,TEKSMAR,lycra,,4,diagonal,26,open width,,,1501,20.1,195,273.6
239,30,32,22,single jersey,single,24/1,NAZAR,combed,34,64,20/1,SIRIKCIOGLI,carded,,32,40,TEKSMAR,lycra,,4,diagonal,26,open width,,,1501,19.6,202,241.9
240,31,32,28,single jersey,single,36/1,NIPAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,1800,25.4,184,162
241,32,32,28,single jersey,single,36/1,NIPAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,24.8,182,141
242,33,32,28,single jersey,single,36/1,NIPAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,25.75,192,160
243,17,36,17,double jersey,ribbed,30/2,MARTEKS,combed,72,98,40,HUAFON,lycra,,2,,,,,,ribbed,20,tube with line,,,750,26.2,208,308
244,17,36,17,double jersey,ribbed,30/2,MARTEKS,combed,72,98,40,HUAFON,lycra,,2,,,,,,ribbed,20,tube with line,,,750,26,220,337
245,18,36,18,double jersey,ribbed,30/2,MARTEKS,vortex gray melange50% polyester50%POL,72,76,70/40,TEKSMAR,ecru guipure,68,20,70,HUAFON,lycra,,4,guipure ribbed,12,tube with line,3242.5,3151.6,1750,26.85,196,343
246,8,32,20,single jersey,fleece,36/1,LIBAS,combed,44,33,36/1,LIBAS,combed,34,25,20/2,ISIPLIK,carded,16,43,diagonal,21,tube with line,,,,25.9,220,263.4
247,31,32,28,single jersey,single,30/1,BELSLER,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,1800,25.2,204,126.2
248,19,36,18,double jersey,ribbed,20/1,LIBAS,combed,28,98,40,HUAFON,lycra,,2,,,,,,interlock 2*1,17,tube with line,,,1500,15.4,138,332.5
249,5,32,20,single jersey,fleece,30/1,KIPAS,combed,44,45,70,TEKSMAR,polyester,29.5,12,12/1,KUTUKCOGLE,open end-cotton-polyester,17,43,plain,21,tube with line,702.35,676.7,1850,22.15,200,269.2
250,5,32,20,single jersey,fleece,30/1,KIPAS,combed,44,45,70,TEKSMAR,polyester,29.5,12,12/1,KUTUKCOGLE,open end-cotton-polyester,17,43,plain,21,tube with line,702.35,676.7,1850,22.9,204,271.2
251,6,32,20,single jersey,fleece,30/1,KIPAS,combed,44,45,70,TEKSMAR,polyester,29.5,12,12/1,KUTUKCOGLE,open end-cotton-polyester,17,43,plain,21,tube with line,,,1850,22.45,202,257.2
252,6,32,20,single jersey,fleece,30/1,KIPAS,combed,44,45,70,TEKSMAR,polyester,29.5,12,12/1,KUTUKCOGLE,open end-cotton-polyester,17,43,plain,21,tube with line,,,1850,23.15,204,265.6
253,1,32,20,single jersey,fleece,30/1,LIBAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1650,24.5,218,306.1
254,1,32,20,single jersey,fleece,30/1,LIBAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1650,25.5,220,298.5
255,2,32,20,single jersey,fleece,30/1,LIBAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1750,26.55,218,295.2
256,2,32,20,single jersey,fleece,30/1,LIBAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1750,26.9,222,303.6
257,4,32,20,single jersey,fleece,30/1,LIBAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1750,25.9,218,285.9
258,4,32,20,single jersey,fleece,30/1,LIBAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1750,26.9,220,283.6
259,21,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,LIBAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,23.4,212,267
260,21,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,LIBAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,22.75,224,275.8
261,22,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,LIBAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1700,24.1,212,278.2
262,22,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,LIBAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1700,24.8,212,277.3
263,23,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,LIBAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,24.1,212,284.2
264,23,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,LIBAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,24.45,224,267.3
265,24,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,LIBAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,24.3,212,310.7
266,24,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,LIBAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,24.1,224,294.1
267,3,32,20,single jersey,fleece,30/1,MEM,combed-cotton-polyester,47,36,30/1,MEM,combed-cotton-polyester,31,31,12/1,LIBAS,open end-cotton-polyester,17,33,plain,21,tube with line,645.3,615.25,,25.15,220,269.8
268,E1,30,28,single jersey,single,30/1,NAZAR,combed,25.5,100,,,,,,,,,,,lacoste,,open width,,,,17.9,200,155.1
269,E2,32,28,single jersey,fleece,28/1,NAZAR,combed,30,77.4,100,,polyester,,16.1,30,,lycra,,6.5,diagonal,,open width,,,,23.5,205,264.3
270,E1,30,28,single jersey,single,30/1,NAZAR,combed,25.5,100,,,,,,,,,,,lacoste,,open width,,,,21.9,217,148.1
271,E2,32,28,single jersey,fleece,28/1,NAZAR,combed,30,77.4,100,,polyester,,16.1,30,,lycra,,6.5,diagonal,,open width,,,,25.8,207,226
272,E2,32,28,single jersey,fleece,28/1,NAZAR,combed,30,77.4,100,,polyester,,16.1,30,,lycra,,6.5,diagonal,,open width,,,,26.4,211,223
273,E2,32,28,single jersey,fleece,28/1,NAZAR,combed,30,77.4,100,,polyester,,16.1,30,,lycra,,6.5,diagonal,,open width,,,,25.65,212,267
274,E2,32,28,single jersey,fleece,28/1,NAZAR,combed,30,77.4,100,,polyester,,16.1,30,,lycra,,6.5,diagonal,,open width,,,,23.15,205,258.4
275,A2,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,,open end-cotton-polyester,22,48.4,plain,,open width,,,,21.15,201,505.5
276,28,32,28,single jersey,single,28/1,LIBAS,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,1550,20.3,220,105
277,30,32,22,single jersey,single,24/1,NAZAR,combed,34,64,20/1,SIRIKCIOGLI,carded,,32,40,TEKSMAR,lycra,,4,diagonal,26,open width,,,1500,23.05,195,280.6
278,30,32,22,single jersey,single,24/1,NAZAR,combed,34,64,20/1,SIRIKCIOGLI,carded,,32,40,TEKSMAR,lycra,,4,diagonal,26,open width,,,1500,19.7,187,259.2
279,31,32,28,single jersey,single,36/1,LIBAS,combed,27,100,,,,,,,,,,,single,26,tube with line,,,1800,22.95,206,105.3
280,32,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,25.75,186,174.2
281,32,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,24.5,187,197.4
282,34,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,26.55,175,172.8
283,17,36,17,double jersey,ribbed,30/1,MARTEKS,combed,52,100,,,,,,,,,,,ribbed,20,tube with line,,,,25.95,238,138
284,18,36,18,double jersey,ribbed,30/1,MARTEKS,vortex gray melange50% polyester50%POL,72,76,70/40,TEKSMAR,ecru guipure,68,20,70,HUAFON,lycra,,4,guipure ribbed,12,tube with line,3242.5,3151.6,1750,24.35,190,399
285,19,36,18,double jersey,ribbed,28/1,NAZAR,combed,36,98,40,HUAFON,lycra,,2,,,,,,interlock 2*1,17,tube with line,,,,24.35,180,289.9
286,19,36,18,double jersey,ribbed,28/1,NAZAR,combed,36,98,40,HUAFON,lycra,,2,,,,,,interlock 2*1,17,tube with line,,,,26.6,172,286.8
287,33,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,25.65,187,164.3
288,33,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,26.6,190,165.9
289,1,32,20,single jersey,fleece,30/1,LIBAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1650,25.5,220,303
290,2,32,20,single jersey,fleece,30/1,LIBAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1750,27.05,216,297.9
291,4,32,20,single jersey,fleece,30/1,LIBAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1750,26,212,276
292,32,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,25.35,178,139.6
293,33,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,25.8,188,127.2
294,34,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,25.7,177,137.7
295,21,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,NIPAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,23.85,212,274.9
296,22,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,NIPAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1700,24.8,210,281
297,23,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,NIPAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,24.6,208,273
298,24,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,NIPAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,24.55,214,300.1
299,18,36,18,double jersey,ribbed,30/1,MARTEKS,vortex gray melange50% polyester50%POL,72,76,70/40,TEKSMAR,ecru guipure,68,20,70,HUAFON,lycra,,4,guipure ribbed,12,tube with line,3242.5,3151.6,,26.75,196,374.9
300,17,36,17,double jersey,ribbed,30/1,MARTEKS,combed,52,100,,,,,,,,,,,ribbed,20,tube with line,,,,24,234,137
301,30,32,22,single jersey,single,24/1,NAZAR,combed,34,64,20/1,SIRIKCIOGLI,carded,,32,40,TEKSMAR,lycra,,4,diagonal,26,open width,,,1500,21.4,200,244.1
302,5,32,20,single jersey,fleece,20/1,LIBAS,combed,48,100,,,,,,,,,,,single,21,tube with line,,,1850,23.35,220,268.6
303,1,32,20,single jersey,fleece,30/1,LIBAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1650,25.7,220,296.4
304,2,32,20,single jersey,fleece,30/1,LIBAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1750,27.05,220,294.8
305,4,32,20,single jersey,fleece,30/1,LIBAS,combed,44,36,70,TEKSMAR,polyester,31,10,10/1,BALSUYUM,anthracite melange,22,54,pique,21,tube with line,,,1750,27.3,220,289.4
306,34,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,26.45,177,153.8
307,32,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,25.85,187,171.6
308,33,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,25.8,183,150.4
309,28,32,28,single jersey,single,30/1 ,NAZAR,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,22.6,226,141
310,28,32,28,single jersey,single,30/1 ,NAZAR,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,25.3,200,125.6
311,32,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,25.25,185,164
312,33,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,23.85,190,158
313,23,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,NIPAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,27.1,216,297.7
314,23,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,NIPAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,25,220,306.1
315,24,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,NIPAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,24.85,220,307.7
316,24,32,22,single jersey,fleece,30/1,MARTEKS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,NIPAS,open end-cotton-polyester,22,49,pique,21,tube with line,,,1600,27.55,216,297
317,17,36,17,double jersey,ribbed,30/1,LIBAS,combed,72,98,40,TEKSMAR,lycra,,2,,,,,,ribbed,20,tube with line,,,,26.25,222,286
318,17,36,17,double jersey,ribbed,30/1,MARTEKS,combed-cotton-polyester,72,98,40,CREORA,lycra,,2,,,,,,ribbed,20,tube with line,,,,24.4,220,292
319,28,32,28,single jersey,single,30/1,NAZAR,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,,202,121.1
320,18,36,18,double jersey,ribbed,30/1,KIPAS,combed,72,92,70,HUAFON,lycra,,8,,,,,,ribbed,17,tube with line,,,,,164,269.3
321,8,32,20,single jersey,fleece,36/1,LIBAS,combed,44,32,36/1,LIBAS,combed,34,25,20/2,ISIPLIK,carded,16,43,diagonal,21,tube with line,,,,,208,264.3
322,31,32,28,single jersey,single,30/1,LIBAS,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,25.75,220,123.6
323,30,32,22,single jersey,single,30/1,LIBAS,combed,28,50,30/1,MARTEKS,combed,,50,,,,,,flame single,26,tube with line,,,,21.35,210,124.1
324,34,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,FEYZAN,lycra,,5,,,,,,single,26,open width,,,,25.65,180,158.5